mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__penalty,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,model,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_class_weight,param_max_features,param_n_estimators,param_clf__degree,param_clf__gamma,param_clf__kernel,phase
0.02332296371459961,0.009600379089525603,0.028372859954833983,0.0037581359810333246,0.0745934328572655,,l1,"{'clf__C': np.float64(0.0745934328572655), 'clf__class_weight': None, 'clf__penalty': 'l1'}",0.777027027027027,0.7755102040816326,0.8367346938775511,0.8231292517006803,0.8435374149659864,0.8111877183305755,0.029262907936669826,20,0.7634408602150538,0.7634408602150538,0.8275862068965517,0.8481012658227848,0.9142857142857143,0.8233709814870316,0.056706406339643974,20,0.8658536585365854,0.8658536585365854,0.8888888888888888,0.8271604938271605,0.7901234567901234,0.8475760313158688,0.03490698498890094,12,0.8114285714285714,0.8114285714285714,0.8571428571428571,0.8375,0.847682119205298,0.8330364238410596,0.01870475128475379,15,0.8394308943089431,0.8439024390243902,0.8984287317620651,0.8907594463150017,0.9242424242424242,0.8793527871305648,0.03274009091214742,25,LogisticRegression,,,,,,,,,,,random
0.02855210304260254,0.01590322587260484,0.027539396286010744,0.0035231840092355368,4.5705630998014515,,l1,"{'clf__C': np.float64(4.5705630998014515), 'clf__class_weight': None, 'clf__penalty': 'l1'}",0.7635135135135135,0.7959183673469388,0.8435374149659864,0.8367346938775511,0.8435374149659864,0.8166482809339952,0.031945415536741226,2,0.7473684210526316,0.776595744680851,0.8372093023255814,0.8433734939759037,0.9027777777777778,0.8214649479625491,0.054485201804774175,23,0.8658536585365854,0.8902439024390244,0.8888888888888888,0.8641975308641975,0.8024691358024691,0.862330623306233,0.031886634911610146,2,0.8022598870056498,0.8295454545454546,0.8622754491017964,0.8536585365853658,0.8496732026143791,0.8394825059705291,0.02148765576927423,3,0.8396156688839616,0.850093808630394,0.8999251777029554,0.8862701084923306,0.9276094276094276,0.8807028382638137,0.03232890081056638,22,LogisticRegression,,,,,,,,,,,random
0.008642816543579101,0.000689200320781207,0.027716541290283205,0.0021351314041982267,0.006026889128682512,,l1,"{'clf__C': np.float64(0.006026889128682512), 'clf__class_weight': None, 'clf__penalty': 'l1'}",0.44594594594594594,0.4421768707482993,0.4489795918367347,0.4489795918367347,0.4489795918367347,0.4470123184408899,0.0026880922055520623,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.5,0.5,0.5,0.5,0.5,0.5,0.0,33,LogisticRegression,,,,,,,,,,,random
0.010798501968383788,0.0018411095623709615,0.02731919288635254,0.0031688867463485868,0.0019517224641449498,balanced,l1,"{'clf__C': np.float64(0.0019517224641449498), 'clf__class_weight': 'balanced', 'clf__penalty': 'l1'}",0.44594594594594594,0.4421768707482993,0.4489795918367347,0.4489795918367347,0.4489795918367347,0.4470123184408899,0.0026880922055520623,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.5,0.5,0.5,0.5,0.5,0.5,0.0,33,LogisticRegression,,,,,,,,,,,random
0.017707109451293945,0.002694269602877594,0.02672433853149414,0.0013955281761151186,1.0129197956845732,balanced,l1,"{'clf__C': np.float64(1.0129197956845732), 'clf__class_weight': 'balanced', 'clf__penalty': 'l1'}",0.7905405405405406,0.8027210884353742,0.8231292517006803,0.8231292517006803,0.8435374149659864,0.8166115094686524,0.018344511614049555,8,0.7802197802197802,0.7912087912087912,0.8313253012048193,0.8571428571428571,0.9142857142857143,0.8348364888123925,0.04839099666364035,1,0.8658536585365854,0.8780487804878049,0.8518518518518519,0.8148148148148148,0.7901234567901234,0.840138512496236,0.03279772838315011,15,0.8208092485549133,0.8323699421965318,0.8414634146341463,0.8354430379746836,0.847682119205298,0.8355535525131146,0.009050642934280779,10,0.8399852180339985,0.8517823639774859,0.9006734006734007,0.8868312757201646,0.9266741488963711,0.8811892814602842,0.03175807867329302,12,LogisticRegression,,,,,,,,,,,random
0.01143784523010254,0.0018627233993878404,0.030709314346313476,0.0038353135506207594,0.001267425589893723,balanced,l2,"{'clf__C': np.float64(0.001267425589893723), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2'}",0.7702702702702703,0.7687074829931972,0.8163265306122449,0.8095238095238095,0.8435374149659864,0.8016731016731017,0.028642091948668878,28,0.7608695652173914,0.75,0.8461538461538461,0.8533333333333334,0.9142857142857143,0.824928491798057,0.061579036787985354,15,0.8536585365853658,0.8780487804878049,0.8148148148148148,0.7901234567901234,0.7901234567901234,0.8253538090936464,0.03513216035452878,27,0.8045977011494253,0.8089887640449438,0.8301886792452831,0.8205128205128205,0.847682119205298,0.822394016831554,0.015493181968398067,28,0.8505173688100517,0.8388367729831145,0.8911335578002244,0.8763561541339319,0.9175084175084174,0.8748704542471479,0.028199967050142105,28,LogisticRegression,,,,,,,,,,,random
0.015445137023925781,0.0023010034883829728,0.02845897674560547,0.0017667699359358569,14.528246637516036,balanced,l2,"{'clf__C': np.float64(14.528246637516036), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2'}",0.7702702702702703,0.8027210884353742,0.8367346938775511,0.8027210884353742,0.8435374149659864,0.8111969111969113,0.02652076774450294,16,0.7608695652173914,0.7912087912087912,0.8352941176470589,0.8421052631578947,0.9264705882352942,0.8311896650932861,0.056138824087775846,6,0.8536585365853658,0.8780487804878049,0.8765432098765432,0.7901234567901234,0.7777777777777778,0.835230352303523,0.042930637804346146,19,0.8045977011494253,0.8323699421965318,0.8554216867469879,0.8152866242038217,0.8456375838926175,0.8306627076378769,0.018740208751358695,19,0.840169992609017,0.8510318949343338,0.8997381219603441,0.8847736625514403,0.9294799850355405,0.8810387314181352,0.03249872618075939,18,LogisticRegression,,,,,,,,,,,random
0.010788297653198243,0.00182142046847342,0.027409791946411133,0.002861206716357723,0.008111941985431923,,l1,"{'clf__C': np.float64(0.008111941985431923), 'clf__class_weight': None, 'clf__penalty': 'l1'}",0.6756756756756757,0.7074829931972789,0.782312925170068,0.7551020408163265,0.6258503401360545,0.7092847949990807,0.055725138780027834,32,0.67,0.696969696969697,0.7951807228915663,0.7710843373493976,0.825,0.7516469514421322,0.05883790920263865,32,0.8170731707317073,0.8414634146341463,0.8148148148148148,0.7901234567901234,0.4074074074074074,0.7341764528756398,0.16419073039251642,32,0.7362637362637363,0.7624309392265194,0.8048780487804879,0.7804878048780488,0.5454545454545454,0.7259030149206676,0.09297294144143227,32,0.6585365853658536,0.6899624765478424,0.7786195286195287,0.7511223344556679,0.8168724279835391,0.7390226705944863,0.05772315014250073,32,LogisticRegression,,,,,,,,,,,random
0.013135194778442383,0.004431579039815663,0.0306978702545166,0.0017698376211153367,0.033205591037519584,balanced,l1,"{'clf__C': np.float64(0.033205591037519584), 'clf__class_weight': 'balanced', 'clf__penalty': 'l1'}",0.7567567567567568,0.7482993197278912,0.8095238095238095,0.7959183673469388,0.8299319727891157,0.7880860452289025,0.031101487113522477,29,0.7555555555555555,0.7419354838709677,0.8271604938271605,0.84,0.9117647058823529,0.8152832478272073,0.06165703570629851,31,0.8292682926829268,0.8414634146341463,0.8271604938271605,0.7777777777777778,0.7654320987654321,0.8082204155374887,0.030543185599552554,29,0.7906976744186046,0.7885714285714286,0.8271604938271605,0.8076923076923077,0.8322147651006712,0.8092673339220345,0.018013235295568447,29,0.8318551367331856,0.8328330206378987,0.8988028432472877,0.884025439580995,0.9167601945379723,0.8728553269474679,0.03466549586104067,29,LogisticRegression,,,,,,,,,,,random
0.013295602798461915,0.001994558400260005,0.02701148986816406,0.0020992836044955664,0.14445251022763064,,l1,"{'clf__C': np.float64(0.14445251022763064), 'clf__class_weight': None, 'clf__penalty': 'l1'}",0.777027027027027,0.7755102040816326,0.8367346938775511,0.8299319727891157,0.8435374149659864,0.8125482625482625,0.029936868098335997,13,0.7578947368421053,0.7634408602150538,0.8352941176470589,0.8589743589743589,0.9142857142857143,0.8259779575928583,0.059194639505019374,13,0.8780487804878049,0.8658536585365854,0.8765432098765432,0.8271604938271605,0.7901234567901234,0.8475459199036436,0.03411552576110958,13,0.8135593220338984,0.8114285714285714,0.8554216867469879,0.8427672955974843,0.847682119205298,0.834171799002448,0.018166439662798527,14,0.8409090909090908,0.8472795497185741,0.9001122334455667,0.8918817807706696,0.9248035914702581,0.8809972492628318,0.032083625003409166,20,LogisticRegression,,,,,,,,,,,random
