feature,chi2,p_value,cramers_v,dof,levels
exang,184.0201317618325,6.422656534867857e-42,0.4602475424993869,1,2
thal,109.04739780567616,2.092466113570906e-24,0.3519849852451979,2,3
cp,268.3457473383063,7.036524877817212e-58,0.31056954956302024,3,4
sex,85.3612388986764,2.48545278620117e-20,0.3029780562230056,1,2
ca,73.20029491660873,8.80583018818304e-16,0.27651895607567867,3,4
slope,88.8517494034568,5.0826214306709965e-20,0.26702911270612617,2,3
fbs,16.111634768381286,5.9716039956122106e-05,0.1350086021603013,1,2
restecg,11.711881268428336,0.0028628414475911136,0.07280156136795779,2,3
